Year,Province,Both sexes,Female,Male,Age 0-14,Age 15-64,Age 65+,Average Age
2008,Nunavut,30444.0,14823.0,15624.0,10173.0,19364.0,910.0,26.66
2008,Ontario,12436896.0,6373222.0,6063676.0,2198790.0,8497273.0,1740838.0,39.18
2008,Prince Edward Island,137592.0,71193.0,66399.0,23613.0,92755.0,21225.0,40.46
2008,Quebec,7688878.0,3925917.0,3762961.0,1254951.0,5282679.0,1151248.0,40.46
2008,Saskatchewan,994250.0,504482.0,489766.0,191761.0,651419.0,151065.0,38.94
2008,Yukon,31782.0,15790.0,15993.0,5773.0,23398.0,2607.0,37.260000000000005
2009,Alberta,3503296.0,1747889.0,1755409.0,663480.0,2455015.0,384799.0,37.019999999999996
2009,British Columbia,4285427.0,2185873.0,2099559.0,678261.0,2954015.0,653156.0,40.760000000000005
2009,Canada,32731169.0,16692246.0,16038926.0,5596343.0,22433693.0,4701133.0,39.7
2009,Manitoba,1184322.0,602279.0,582040.0,228766.0,787332.0,168226.0,38.64
2009,New Brunswick,742702.0,380638.0,362061.0,115445.0,510020.0,117232.0,41.5
2009,Newfoundland and Labrador,510909.0,262276.0,248633.0,77268.0,356273.0,77369.0,41.5
2009,Northwest Territories,41462.0,20334.0,21129.0,9375.0,29861.0,2227.0,32.88
2009,Nova Scotia,918422.0,475136.0,443286.0,141503.0,629608.0,147308.0,41.519999999999996
2009,Nunavut,30931.0,15052.0,15881.0,10257.0,19716.0,960.0,26.84
2009,Ontario,12575204.0,6445043.0,6130164.0,2192785.0,8595757.0,1786667.0,39.42
2009,Prince Edward Island,138463.0,71662.0,66801.0,23427.0,93290.0,21745.0,40.739999999999995
2009,Quebec,7760252.0,3959658.0,3800594.0,1256174.0,5317351.0,1186727.0,40.64
2009,Saskatchewan,1007295.0,510263.0,497029.0,193794.0,661551.0,151945.0,38.96
2009,Yukon,32488.0,16140.0,16347.0,5802.0,23912.0,2768.0,37.54
2010,Alberta,3574278.0,1782667.0,1791612.0,674135.0,2504880.0,395262.0,37.16
2010,British Columbia,4342741.0,2214664.0,2128082.0,677813.0,2993995.0,670938.0,40.980000000000004
2010,Canada,33103927.0,16877353.0,16226578.0,5601844.0,22678989.0,4823094.0,39.9
2010,Manitoba,1196296.0,607997.0,588295.0,229963.0,795996.0,170338.0,38.72
2010,New Brunswick,746936.0,382684.0,364248.0,114510.0,511990.0,120431.0,41.800000000000004
2010,Newfoundland and Labrador,512722.0,263123.0,249599.0,76949.0,356039.0,79737.0,41.800000000000004
2010,Northwest Territories,41461.0,20367.0,21097.0,9195.0,29958.0,2311.0,33.14
2010,Nova Scotia,920076.0,475638.0,444438.0,139859.0,629874.0,150339.0,41.76
2010,Nunavut,31418.0,15281.0,16138.0,10341.0,20068.0,1010.0,27.02
2010,Ontario,12713512.0,6516864.0,6196652.0,2186780.0,8694241.0,1832496.0,39.66
2010,Prince Edward Island,139334.0,72131.0,67203.0,23241.0,93825.0,22265.0,41.019999999999996
2010,Quebec,7831626.0,3993399.0,3838227.0,1257397.0,5352023.0,1222206.0,40.82
2010,Saskatchewan,1020340.0,516044.0,504292.0,195827.0,671683.0,152825.0,38.98
2010,Yukon,33194.0,16490.0,16701.0,5831.0,24426.0,2929.0,37.82
2011,Alberta,3645260.0,1817445.0,1827815.0,684790.0,2554745.0,405725.0,37.3
2011,British Columbia,4400055.0,2243455.0,2156605.0,677365.0,3033975.0,688720.0,41.2
2011,Canada,33476685.0,17062460.0,16414230.0,5607345.0,22924285.0,4945055.0,40.1
2011,Manitoba,1208270.0,613715.0,594550.0,231160.0,804660.0,172450.0,38.8
2011,New Brunswick,751170.0,384730.0,366435.0,113575.0,513960.0,123630.0,42.1
2011,Newfoundland and Labrador,514535.0,263970.0,250565.0,76630.0,355805.0,82105.0,42.1
2011,Northwest Territories,41460.0,20400.0,21065.0,9015.0,30055.0,2395.0,33.4
2011,Nova Scotia,921730.0,476140.0,445590.0,138215.0,630140.0,153370.0,42.0
2011,Nunavut,31905.0,15510.0,16395.0,10425.0,20420.0,1060.0,27.2
2011,Ontario,12851820.0,6588685.0,6263140.0,2180775.0,8792725.0,1878325.0,39.9
2011,Prince Edward Island,140205.0,72600.0,67605.0,23055.0,94360.0,22785.0,41.3
2011,Quebec,7903000.0,4027140.0,3875860.0,1258620.0,5386695.0,1257685.0,41.0
2011,Saskatchewan,1033385.0,521825.0,511555.0,197860.0,681815.0,153705.0,39.0
2011,Yukon,33900.0,16840.0,17055.0,5860.0,24940.0,3090.0,38.1
2012,Alberta,3729643.0,1859509.0,1870134.0,703663.0,2601356.0,424624.0,37.4
2012,British Columbia,4449655.0,2268727.0,2180932.0,680170.0,3048716.0,720773.0,41.42
2012,Canada,33811693.0,17227474.0,16584224.0,5653790.0,23014733.0,5143170.0,40.28
2012,Manitoba,1222289.0,620366.0,601919.0,233693.0,810843.0,177753.0,38.879999999999995
2012,New Brunswick,750356.0,384133.0,366219.0,112959.0,508732.0,128661.0,42.4
2012,Newfoundland and Labrador,515571.0,264334.0,251237.0,76193.0,353494.0,85890.0,42.42
2012,Northwest Territories,41526.0,20422.0,21108.0,8987.0,29982.0,2561.0,33.699999999999996
2012,Nova Scotia,922103.0,476255.0,445849.0,137338.0,625302.0,159460.0,42.3
2012,Nunavut,32713.0,15918.0,16794.0,10677.0,20915.0,1120.0,27.3
2012,Ontario,12971155.0,6648768.0,6322391.0,2186214.0,8831953.0,1952991.0,40.12
2012,Prince Edward Island,140746.0,72800.0,67945.0,22981.0,93990.0,23770.0,41.58
2012,Quebec,7955272.0,4051233.0,3904039.0,1273547.0,5376538.0,1305187.0,41.18
