REF_DATE,GEO,Number_of_Households
1982-08-01,New Brunswick,222
1982-08-01,Newfoundland and Labrador,153
1982-08-01,Ontario,3090
1982-08-01,Prince Edward Island,39
1982-08-01,Quebec,2251
1982-08-01,Canada,8583
1982-09-01,Alberta,793
1982-09-01,British Columbia,1046
1982-09-01,Manitoba,367
1982-09-01,New Brunswick,222
1982-09-01,Newfoundland and Labrador,153
1982-09-01,Ontario,3090
1982-09-01,Prince Edward Island,39
1982-09-01,Quebec,2251
1982-09-01,Canada,8583
1982-10-01,Alberta,793
1982-10-01,British Columbia,1046
1982-10-01,Manitoba,367
1982-10-01,New Brunswick,222
1982-10-01,Newfoundland and Labrador,153
1982-10-01,Ontario,3090
1982-10-01,Prince Edward Island,39
1982-10-01,Quebec,2251
1982-10-01,Canada,8583
1982-11-01,Alberta,793
1982-11-01,British Columbia,1046
1982-11-01,Manitoba,367
1982-11-01,New Brunswick,222
1982-11-01,Newfoundland and Labrador,153
1982-11-01,Ontario,3090
1982-11-01,Prince Edward Island,39
1982-11-01,Quebec,2251
1982-11-01,Canada,8583
1982-12-01,Alberta,793
1982-12-01,British Columbia,1046
1982-12-01,Manitoba,367
1982-12-01,New Brunswick,222
1982-12-01,Newfoundland and Labrador,153
1982-12-01,Ontario,3090
1982-12-01,Prince Edward Island,39
1982-12-01,Quebec,2251
1982-12-01,Canada,8583
1983-01-01,Alberta,810
1983-01-01,British Columbia,1068
1983-01-01,Manitoba,373
1983-01-01,New Brunswick,226
1983-01-01,Newfoundland and Labrador,155
1983-01-01,Ontario,3150
1983-01-01,Prince Edward Island,39
1983-01-01,Quebec,2294
1983-01-01,Canada,8748
1983-02-01,Alberta,810
1983-02-01,British Columbia,1068
1983-02-01,Manitoba,373
1983-02-01,New Brunswick,226
1983-02-01,Newfoundland and Labrador,155
1983-02-01,Ontario,3150
1983-02-01,Prince Edward Island,39
1983-02-01,Quebec,2294
1983-02-01,Canada,8748
1983-03-01,Alberta,810
1983-03-01,British Columbia,1068
1983-03-01,Manitoba,373
1983-03-01,New Brunswick,226
1983-03-01,Newfoundland and Labrador,155
1983-03-01,Ontario,3150
1983-03-01,Prince Edward Island,39
1983-03-01,Quebec,2294
1983-03-01,Canada,8748
1983-04-01,Alberta,810
1983-04-01,British Columbia,1068
1983-04-01,Manitoba,373
1983-04-01,New Brunswick,226
1983-04-01,Newfoundland and Labrador,155
1983-04-01,Ontario,3150
1983-04-01,Prince Edward Island,39
1983-04-01,Quebec,2294
1983-04-01,Canada,8748
1983-05-01,Alberta,810
1983-05-01,British Columbia,1068
1983-05-01,Manitoba,373
1983-05-01,New Brunswick,226
1983-05-01,Newfoundland and Labrador,155
1983-05-01,Ontario,3150
1983-05-01,Prince Edward Island,39
1983-05-01,Quebec,2294
1983-05-01,Canada,8748
1983-06-01,Alberta,810
1983-06-01,British Columbia,1068
1983-06-01,Manitoba,373
1983-06-01,New Brunswick,226
1983-06-01,Newfoundland and Labrador,155
1983-06-01,Ontario,3150
1983-06-01,Prince Edward Island,39
1983-06-01,Quebec,2294
1983-06-01,Canada,8748
1983-07-01,Alberta,810
1983-07-01,British Columbia,1068
1983-07-01,Manitoba,373
1983-07-01,New Brunswick,226
1983-07-01,Newfoundland and Labrador,155
1983-07-01,Ontario,3150
1983-07-01,Prince Edward Island,39
1983-07-01,Quebec,2294
1983-07-01,Canada,8748
1983-08-01,Alberta,810
1983-08-01,British Columbia,1068
1983-08-01,Manitoba,373
1983-08-01,New Brunswick,226
1983-08-01,Newfoundland and Labrador,155
1983-08-01,Ontario,3150
1983-08-01,Prince Edward Island,39
1983-08-01,Quebec,2294
1983-08-01,Canada,8748
1983-09-01,Alberta,810
1983-09-01,British Columbia,1068
1983-09-01,Manitoba,373
