"REF_DATE","GEO","DGUID","Age group","Participation rate by type of institution attended","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000/2001","Prince Edward Island","2021A000211","25 to 29 years","Total participation rate","Percent","239","units","0","v99915244","3.2.1","9","C","","","0"
"2000/2001","Prince Edward Island","2021A000211","25 to 29 years","Elementary and/or High School","Percent","239","units","0","v99915245","3.2.2","","x","","","0"
"2000/2001","Prince Edward Island","2021A000211","25 to 29 years","College","Percent","239","units","0","v99915246","3.2.3","4","C","","","0"
"2000/2001","Prince Edward Island","2021A000211","25 to 29 years","University","Percent","239","units","0","v99915247","3.2.4","5","C","","","0"
"2000/2001","Prince Edward Island","2021A000211","30 to 34 years","Total participation rate","Percent","239","units","0","v99915248","3.3.1","5","C","","","0"
"2000/2001","Prince Edward Island","2021A000211","30 to 34 years","Elementary and/or High School","Percent","239","units","0","v99915249","3.3.2","","x","","","0"
"2000/2001","Prince Edward Island","2021A000211","30 to 34 years","College","Percent","239","units","0","v99915250","3.3.3","3","D","","","0"
"2000/2001","Prince Edward Island","2021A000211","30 to 34 years","University","Percent","239","units","0","v99915251","3.3.4","","x","","","0"
"2000/2001","Nova Scotia","2021A000212","18 to 24 years","Total participation rate","Percent","239","units","0","v99915252","4.1.1","43","A","","","0"
"2000/2001","Nova Scotia","2021A000212","18 to 24 years","Elementary and/or High School","Percent","239","units","0","v99915253","4.1.2","8","B","","","0"
"2000/2001","Nova Scotia","2021A000212","18 to 24 years","College","Percent","239","units","0","v99915254","4.1.3","9","B","","","0"
"2000/2001","Nova Scotia","2021A000212","18 to 24 years","University","Percent","239","units","0","v99915255","4.1.4","25","B","","","0"
"2000/2001","Nova Scotia","2021A000212","25 to 29 years","Total participation rate","Percent","239","units","0","v99915256","4.2.1","8","B","","","0"
"2000/2001","Nova Scotia","2021A000212","25 to 29 years","Elementary and/or High School","Percent","239","units","0","v99915257","4.2.2","","x","","","0"
"2000/2001","Nova Scotia","2021A000212","25 to 29 years","College","Percent","239","units","0","v99915258","4.2.3","3","C","","","0"
