REF_DATE,Province,Number_of_Households
1983-03,New Brunswick,226
1983-03,Newfoundland and Labrador,155
1983-03,Nova Scotia,286
1983-03,Ontario,3150
1983-03,Prince Edward Island,39
1983-03,Quebec,2294
1983-03,Saskatchewan,347
1983-04,Alberta,810
1983-04,British Columbia,1068
1983-04,Manitoba,373
1983-04,New Brunswick,226
1983-04,Newfoundland and Labrador,155
1983-04,Nova Scotia,286
1983-04,Ontario,3150
1983-04,Prince Edward Island,39
1983-04,Quebec,2294
1983-04,Saskatchewan,347
1983-05,Alberta,810
1983-05,British Columbia,1068
1983-05,Manitoba,373
1983-05,New Brunswick,226
1983-05,Newfoundland and Labrador,155
1983-05,Nova Scotia,286
1983-05,Ontario,3150
1983-05,Prince Edward Island,39
1983-05,Quebec,2294
1983-05,Saskatchewan,347
1983-06,Alberta,810
1983-06,British Columbia,1068
1983-06,Manitoba,373
1983-06,New Brunswick,226
1983-06,Newfoundland and Labrador,155
1983-06,Nova Scotia,286
1983-06,Ontario,3150
1983-06,Prince Edward Island,39
1983-06,Quebec,2294
1983-06,Saskatchewan,347
1983-07,Alberta,810
1983-07,British Columbia,1068
1983-07,Manitoba,373
1983-07,New Brunswick,226
1983-07,Newfoundland and Labrador,155
1983-07,Nova Scotia,286
1983-07,Ontario,3150
1983-07,Prince Edward Island,39
1983-07,Quebec,2294
1983-07,Saskatchewan,347
1983-08,Alberta,810
1983-08,British Columbia,1068
1983-08,Manitoba,373
1983-08,New Brunswick,226
1983-08,Newfoundland and Labrador,155
1983-08,Nova Scotia,286
1983-08,Ontario,3150
1983-08,Prince Edward Island,39
1983-08,Quebec,2294
1983-08,Saskatchewan,347
1983-09,Alberta,810
1983-09,British Columbia,1068
1983-09,Manitoba,373
1983-09,New Brunswick,226
1983-09,Newfoundland and Labrador,155
1983-09,Nova Scotia,286
1983-09,Ontario,3150
1983-09,Prince Edward Island,39
1983-09,Quebec,2294
1983-09,Saskatchewan,347
1983-10,Alberta,810
1983-10,British Columbia,1068
1983-10,Manitoba,373
1983-10,New Brunswick,226
1983-10,Newfoundland and Labrador,155
1983-10,Nova Scotia,286
1983-10,Ontario,3150
1983-10,Prince Edward Island,39
1983-10,Quebec,2294
1983-10,Saskatchewan,347
1983-11,Alberta,810
1983-11,British Columbia,1068
1983-11,Manitoba,373
1983-11,New Brunswick,226
1983-11,Newfoundland and Labrador,155
1983-11,Nova Scotia,286
1983-11,Ontario,3150
1983-11,Prince Edward Island,39
1983-11,Quebec,2294
1983-11,Saskatchewan,347
1983-12,Alberta,810
1983-12,British Columbia,1068
1983-12,Manitoba,373
1983-12,New Brunswick,226
1983-12,Newfoundland and Labrador,155
1983-12,Nova Scotia,286
1983-12,Ontario,3150
1983-12,Prince Edward Island,39
1983-12,Quebec,2294
1983-12,Saskatchewan,347
1984-01,Alberta,826
1984-01,British Columbia,1089
1984-01,Manitoba,380
1984-01,New Brunswick,229
1984-01,Newfoundland and Labrador,157
1984-01,Nova Scotia,291
1984-01,Ontario,3209
1984-01,Prince Edward Island,40
