REF_DATE,Province,Number_of_Households
1982-08-31,Manitoba,367
1982-08-31,New Brunswick,222
1982-08-31,Newfoundland and Labrador,153
1982-08-31,Nova Scotia,281
1982-08-31,Ontario,3090
1982-08-31,Prince Edward Island,39
1982-08-31,Quebec,2251
1982-08-31,Saskatchewan,341
1982-09-30,Alberta,793
1982-09-30,British Columbia,1046
1982-09-30,Manitoba,367
1982-09-30,New Brunswick,222
1982-09-30,Newfoundland and Labrador,153
1982-09-30,Nova Scotia,281
1982-09-30,Ontario,3090
1982-09-30,Prince Edward Island,39
1982-09-30,Quebec,2251
1982-09-30,Saskatchewan,341
1982-10-31,Alberta,793
1982-10-31,British Columbia,1046
1982-10-31,Manitoba,367
1982-10-31,New Brunswick,222
1982-10-31,Newfoundland and Labrador,153
1982-10-31,Nova Scotia,281
1982-10-31,Ontario,3090
1982-10-31,Prince Edward Island,39
1982-10-31,Quebec,2251
1982-10-31,Saskatchewan,341
1982-11-30,Alberta,793
1982-11-30,British Columbia,1046
1982-11-30,Manitoba,367
1982-11-30,New Brunswick,222
1982-11-30,Newfoundland and Labrador,153
1982-11-30,Nova Scotia,281
1982-11-30,Ontario,3090
1982-11-30,Prince Edward Island,39
1982-11-30,Quebec,2251
1982-11-30,Saskatchewan,341
1982-12-31,Alberta,793
1982-12-31,British Columbia,1046
1982-12-31,Manitoba,367
1982-12-31,New Brunswick,222
1982-12-31,Newfoundland and Labrador,153
1982-12-31,Nova Scotia,281
1982-12-31,Ontario,3090
1982-12-31,Prince Edward Island,39
1982-12-31,Quebec,2251
1982-12-31,Saskatchewan,341
1983-01-31,Alberta,810
1983-01-31,British Columbia,1068
1983-01-31,Manitoba,373
1983-01-31,New Brunswick,226
1983-01-31,Newfoundland and Labrador,155
1983-01-31,Nova Scotia,286
1983-01-31,Ontario,3150
1983-01-31,Prince Edward Island,39
1983-01-31,Quebec,2294
1983-01-31,Saskatchewan,347
