REF_DATE,GEO,Housing completions,Housing starts,Housing under construction
2002-10-01,Canada,129334.0,130678.8,307070.0
2002-10-01,Manitoba,2007.0,2034.5,3583.0
2002-10-01,New Brunswick,2228.0,3292.0,5336.0
2002-10-01,Newfoundland and Labrador,1719.0,1480.8,2936.0
2002-10-01,Nova Scotia,2291.0,3668.7,7718.0
2002-10-01,Ontario,58653.0,51086.5,137752.0
2002-10-01,Prince Edward Island,597.0,334.6,732.0
2002-10-01,Quebec,22151.0,27391.6,44526.0
2002-10-01,Saskatchewan,1449.0,2045.4,4053.0
2002-11-01,Alberta,2206.9565217391305,2731.6434782608694,6265.217391304348
2002-11-01,British Columbia,2964.913043478261,3417.886956521739,8477.434782608696
2002-11-01,Canada,3722.869565217391,4104.130434782608,10689.652173913044
2002-11-01,Manitoba,4480.826086956522,4790.373913043479,12901.869565217392
2002-11-01,New Brunswick,5238.782608695652,5476.617391304348,15114.08695652174
2002-11-01,Newfoundland and Labrador,5996.739130434782,6162.8608695652165,17326.304347826088
2002-11-01,Nova Scotia,6754.695652173913,6849.104347826087,19538.521739130436
2002-11-01,Ontario,7512.652173913043,7535.347826086956,21750.739130434784
2002-11-01,Prince Edward Island,8270.608695652172,8221.591304347827,23962.956521739132
2002-11-01,Quebec,9028.565217391304,8907.834782608696,26175.17391304348
2002-11-01,Saskatchewan,9786.521739130434,9594.078260869564,28387.391304347828
2002-12-01,Alberta,10544.478260869564,10280.321739130433,30599.608695652176
2002-12-01,British Columbia,11302.434782608694,10966.565217391304,32811.82608695653
2002-12-01,Canada,12060.391304347826,11652.808695652173,35024.04347826087
2002-12-01,Manitoba,12818.347826086956,12339.052173913044,37236.260869565216
2002-12-01,New Brunswick,13576.304347826086,13025.295652173912,39448.47826086957
2002-12-01,Newfoundland and Labrador,14334.260869565216,13711.539130434781,41660.69565217392
2002-12-01,Nova Scotia,15092.217391304346,14397.782608695652,43872.913043478264
2002-12-01,Ontario,15850.173913043478,15084.02608695652,46085.13043478261
2002-12-01,Prince Edward Island,16608.130434782608,15770.269565217392,48297.34782608696
2002-12-01,Quebec,17366.086956521736,16456.513043478262,50509.56521739131
2002-12-01,Saskatchewan,18124.043478260868,17142.75652173913,52721.782608695656
2003-01-01,Alberta,18882.0,17829.0,54934.0
2003-01-01,British Columbia,10560.0,11086.4,44627.0
2003-01-01,Canada,96139.0,95613.2,306119.0
2003-01-01,Manitoba,1467.0,1113.5,3224.0
2003-01-01,New Brunswick,2282.0,857.1,3861.0
2003-01-01,Newfoundland and Labrador,1466.0,226.4,1681.0
2003-01-01,Nova Scotia,2815.0,1854.5,6793.0
2003-01-01,Ontario,40217.0,41973.2,139539.0
2003-01-01,Prince Edward Island,380.0,153.8,501.0
2003-01-01,Quebec,16858.0,18860.8,46672.0
2003-01-01,Saskatchewan,1212.0,1437.4,4287.0
2003-02-01,Alberta,2097.304347826087,2389.613043478261,6545.173913043478
2003-02-01,British Columbia,2982.608695652174,3341.826086956522,8803.347826086956
2003-02-01,Canada,3867.913043478261,4294.039130434783,11061.521739130436
2003-02-01,Manitoba,4753.217391304348,5246.252173913043,13319.695652173914
2003-02-01,New Brunswick,5638.521739130435,6198.465217391304,15577.869565217392
2003-02-01,Newfoundland and Labrador,6523.826086956522,7150.678260869565,17836.04347826087
2003-02-01,Nova Scotia,7409.130434782609,8102.891304347826,20094.21739130435
2003-02-01,Ontario,8294.434782608696,9055.104347826087,22352.391304347828
2003-02-01,Prince Edward Island,9179.739130434784,10007.317391304347,24610.565217391308
2003-02-01,Quebec,10065.04347826087,10959.530434782608,26868.739130434784
2003-02-01,Saskatchewan,10950.347826086956,11911.743478260869,29126.913043478264
2003-03-01,Alberta,11835.652173913044,12863.95652173913,31385.086956521744
2003-03-01,British Columbia,12720.956521739132,13816.169565217391,33643.260869565216
2003-03-01,Canada,13606.260869565218,14768.38260869565,35901.4347826087
2003-03-01,Manitoba,14491.565217391304,15720.595652173912,38159.608695652176
2003-03-01,New Brunswick,15376.869565217392,16672.808695652173,40417.782608695656
2003-03-01,Newfoundland and Labrador,16262.17391304348,17625.021739130436,42675.956521739135
2003-03-01,Nova Scotia,17147.478260869568,18577.234782608695,44934.130434782615
2003-03-01,Ontario,18032.782608695652,19529.44782608696,47192.30434782609
2003-03-01,Prince Edward Island,18918.08695652174,20481.660869565218,49450.47826086957
2003-03-01,Quebec,19803.391304347828,21433.87391304348,51708.65217391305
2003-03-01,Saskatchewan,20688.695652173912,22386.08695652174,53966.82608695653
2003-04-01,Alberta,21574.0,23338.3,56225.0
2003-04-01,British Columbia,14196.0,16083.6,46707.0
2003-04-01,Canada,116777.0,141239.2,329726.0
2003-04-01,Manitoba,2031.0,2396.8,3586.0
2003-04-01,New Brunswick,1484.0,3101.9,5484.0
2003-04-01,Newfoundland and Labrador,1148.0,1998.0,2558.0
2003-04-01,Nova Scotia,2319.0,3037.3,7540.0
2003-04-01,Ontario,43563.0,51956.5,147576.0
2003-04-01,Prince Edward Island,194.0,688.8,1003.0
2003-04-01,Quebec,28152.0,35888.1,54334.0
2003-04-01,Saskatchewan,2116.0,2546.8,4713.0
2003-05-01,Alberta,3029.4347826086955,3521.3173913043483,7022.304347826087
2003-05-01,British Columbia,3942.869565217391,4495.834782608696,9331.608695652174
2003-05-01,Canada,4856.304347826087,5470.352173913044,11640.91304347826
2003-05-01,Manitoba,5769.739130434782,6444.869565217392,13950.217391304348
2003-05-01,New Brunswick,6683.173913043478,7419.38695652174,16259.521739130436
2003-05-01,Newfoundland and Labrador,7596.608695652174,8393.904347826086,18568.82608695652
2003-05-01,Nova Scotia,8510.043478260868,9368.421739130436,20878.130434782608
2003-05-01,Ontario,9423.478260869564,10342.939130434785,23187.434782608696
2003-05-01,Prince Edward Island,10336.91304347826,11317.456521739132,25496.739130434784
2003-05-01,Quebec,11250.347826086956,12291.97391304348,27806.04347826087
2003-05-01,Saskatchewan,12163.782608695652,13266.491304347826,30115.347826086956
2003-06-01,Alberta,13077.217391304348,14241.008695652174,32424.652173913044
2003-06-01,British Columbia,13990.652173913044,15215.526086956525,34733.956521739135
2003-06-01,Canada,14904.086956521738,16190.043478260872,37043.260869565216
2003-06-01,Manitoba,15817.521739130434,17164.56086956522,39352.565217391304
2003-06-01,New Brunswick,16730.95652173913,18139.078260869566,41661.86956521739
2003-06-01,Newfoundland and Labrador,17644.391304347824,19113.595652173914,43971.17391304348
2003-06-01,Nova Scotia,18557.82608695652,20088.11304347826,46280.47826086957
